,year,rank,rider,age,team,time,rank_giro,team_giro,time_giro,rank_vuelta,team_vuelta,time_vuelta,top_3_teams_prev_year,distance,target,target2,podium,last_year_tour_rank,last_2year_tour_rank,this_year_giro_rank,last_year_giro_rank,last_year_vuelta_rank,wins_last_year,prev_wins_giro,prev_wins_vuelta,young,prev_young,prev_mountains_3y,prev_timetrial_3y,target_lastyr,target_2lastyr,podium_lastyr,time_seconds,time_last_year,in_top_3_teams_prev_year
0,1960,1,NENCINI Gastone,30,Italy,0,2,Italy,0:28,200,Unknown,,N/A,240,podium,podium,podium,200,200,2,200,200,0,0,0,,0,3,0,below 100,below 75,not podium,0,40000,0
1,1960,2,BATTISTINI Graziano,24,Italy,5:02,20,Italy,41:13,200,Unknown,,N/A,208,podium,podium,podium,200,200,20,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,302,40000,0
2,1960,3,ADRIAENSENS Jan,28,Belgium,10:24,12,Belgium,19:32,200,Unknown,,N/A,0,podium,podium,podium,200,200,12,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,624,40000,0
3,1960,4,JUNKERMANN Hans,26,West-Germany,11:21,14,West-Germany,30:01,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,14,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,681,40000,0
4,1960,5,PLANCKAERT Joseph,26,Belgium,13:02,200,Unknown,,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,782,40000,0
5,1960,6,MASTROTTO Raymond,25,France,16:12,200,Unknown,,200,Unknown,,N/A,250,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,972,40000,0
6,1960,7,PAMBIANCO Arnaldo,24,Italy,17:58,7,Italy,8:32,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,7,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,1078,40000,0
7,1960,8,ANGLADE Henry,27,France,19:17,200,Unknown,,200,Unknown,,N/A,219,4-25,4-25,not podium,200,200,200,200,200,1,0,0,,0,1,0,below 100,below 75,not podium,1157,40000,0
8,1960,9,ROHRBACH Marcel,27,Centre-Midi,20:02,200,Unknown,,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,1202,40000,0
9,1960,10,MASSIGNAN Imerio,23,Italy,23:28,4,Italy,4:06,200,Unknown,,N/A,208,4-25,4-25,not podium,200,200,4,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,1408,40000,0
10,1960,11,MANZANEQUE Fernando,26,Spain,25:59,200,Unknown,,6,Faema,31:58,N/A,201,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,1559,40000,0
11,1960,12,GELDERMANS Albertus,25,Netherlands,26:33,200,Unknown,,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,1593,40000,0
12,1960,13,GRACZYK Jean,27,France,26:55,200,Unknown,,200,Unknown,,N/A,220,4-25,4-25,not podium,200,200,200,200,200,1,0,0,,0,0,0,below 100,below 75,not podium,1615,40000,0
13,1960,14,MAHÉ François,29,France,32:36,200,Unknown,,200,Unknown,,N/A,134,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,1956,40000,0
14,1960,15,ROSTOLLAN Louis,24,France,34:18,60,France,1:40:04,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,60,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,2058,40000,0
15,1960,16,DARRIGADE André,31,France,34:23,64,France,1:49:10,200,Unknown,,N/A,204,4-25,4-25,not podium,200,200,64,200,200,2,0,0,,0,3,0,below 100,below 75,not podium,2063,40000,0
16,1960,17,SUAREZ Antonio,28,Spain,39:15,200,Unknown,,11,Faema,44:49,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,2355,40000,0
17,1960,18,DELBERGHE Edouard,24,France,44:25,9,France,12:29,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,9,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,2665,40000,0
18,1960,19,PAVARD René,25,France,48:13,200,Unknown,,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,2893,40000,0
19,1960,20,MORALES Carmelo,29,Spain,50:44,200,Unknown,,15,Kas - Boxing Club,1:23:50,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3044,40000,0
20,1960,21,LOROÑO Jesús,34,Spain,52:10,200,Unknown,,9,Brandy Majestad,38:11,N/A,103,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3130,40000,0
21,1960,22,GIMMI Kurt,24,Switzerland/Luxembourg,54:40,200,Unknown,,200,Unknown,,N/A,161,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3280,40000,0
22,1960,23,LACH Stephan,26,Paris-Nord,55:02,200,Unknown,,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3302,40000,0
23,1960,24,VAN AERDE Michel,26,Belgium,56:51,200,Unknown,,200,Unknown,,N/A,0,4-25,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3411,40000,0
24,1960,25,PAUWELS Eddy,25,Belgium,59:05,200,Unknown,,200,Unknown,,N/A,169,25-50,4-25,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3545,40000,0
25,1960,26,ROBINSON Brian,29,Great Britain,59:52,200,Unknown,,200,Unknown,,N/A,186,25-50,26-50,not podium,200,200,200,200,200,1,0,0,,0,0,0,below 100,below 75,not podium,3592,40000,0
26,1960,27,DAMEN Piet,25,Netherlands,1:00:21,200,Unknown,,200,Unknown,,N/A,0,25-50,26-50,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3621,40000,0
27,1960,28,VAN EST Piet,25,Netherlands,1:02:48,200,Unknown,,200,Unknown,,N/A,0,25-50,26-50,not podium,200,200,200,200,200,0,0,0,,0,0,0,below 100,below 75,not podium,3768,40000,0
