year,general,general_second,general_third,points,mountains,young,general_prev_tour,young_prev_tour
1903,GARIN Maurice,POTHIER Lucien,AUGEREAU Fernand,N/A,N/A,N/A,N/A,N/A
1904,CORNET Henri,DORTIGNACQ Jean-Baptiste,CATTEAU Aloïs,N/A,N/A,N/A,GARIN Maurice,N/A
1905,TROUSSELIER Louis, Hippolyte,DORTIGNACQ Jean-Baptiste,N/A,N/A,N/A,CORNET Henri,N/A
1906,POTTIER René,PASSERIEU Georges,TROUSSELIER Louis,N/A,N/A,N/A,TROUSSELIER Louis,N/A
1907,PETIT-BRETON Lucien,GARRIGOU Gustave,GEORGET Émile,N/A,N/A,N/A,POTTIER René,N/A
1908,PETIT-BRETON Lucien,FABER François,PASSERIEU Georges,N/A,N/A,N/A,PETIT-BRETON Lucien,N/A
1909,FABER François,GARRIGOU Gustave,ALAVOINE Jean,N/A,N/A,N/A,PETIT-BRETON Lucien,N/A
1910,LAPIZE Octave,FABER François,GARRIGOU Gustave,N/A,N/A,N/A,FABER François,N/A
1911,GARRIGOU Gustave,DUBOC Paul,GEORGET Émile,N/A,N/A,N/A,LAPIZE Octave,N/A
1912,DEFRAYE Odile,CHRISTOPHE Eugène,GARRIGOU Gustave,N/A,N/A,N/A,GARRIGOU Gustave,N/A
1913,THYS Philippe,GARRIGOU Gustave,BUYSSE Marcel,N/A,N/A,N/A,DEFRAYE Odile,N/A
1914,THYS Philippe,PÉLISSIER Henri,ALAVOINE Jean,N/A,N/A,N/A,THYS Philippe,N/A
1915,LAMBOT Firmin,ALAVOINE Jean,CHRISTOPHE Eugène,N/A,N/A,N/A,THYS Philippe,N/A
1916,THYS Philippe,HEUSGHEM Hector,LAMBOT Firmin,N/A,N/A,N/A,LAMBOT Firmin,N/A
1917,WINNER No,No Winner (WW1),No Winner (WW1),N/A,N/A,N/A,THYS Philippe,N/A
1918,WINNER No,No Winner (WW1),No Winner (WW1),N/A,N/A,N/A,WINNER No,N/A
1919,WINNER No,No Winner (WW1),No Winner (WW1),N/A,N/A,N/A,WINNER No,N/A
1920,WINNER No,No Winner (WW1),No Winner (WW1),N/A,N/A,N/A,WINNER No,N/A
1921,SCIEUR Léon,HEUSGHEM Hector,BARTHÉLEMY Honoré,N/A,N/A,N/A,WINNER No,N/A
1922,LAMBOT Firmin,ALAVOINE Jean,SELLIER Félix,N/A,N/A,N/A,SCIEUR Léon,N/A
1923,PÉLISSIER Henri,BOTTECCHIA Ottavio,BELLENGER Romain,N/A,N/A,N/A,LAMBOT Firmin,N/A
1924,BOTTECCHIA Ottavio,FRANTZ Nicolas,BUYSSE Lucien,N/A,N/A,N/A,PÉLISSIER Henri,N/A
1925,BOTTECCHIA Ottavio,BUYSSE Lucien,AYMO Bartolomeo,N/A,N/A,N/A,BOTTECCHIA Ottavio,N/A
1926,BUYSSE Lucien,FRANTZ Nicolas,AYMO Bartolomeo,N/A,N/A,N/A,BOTTECCHIA Ottavio,N/A
1927,FRANTZ Nicolas,DE Maurice, Julien,N/A,N/A,N/A,BUYSSE Lucien,N/A
1928,FRANTZ Nicolas,LEDUCQ André,DE Maurice,N/A,N/A,N/A,FRANTZ Nicolas,N/A
1929,DE Maurice,PANCERA Giuseppe,DEMUYSÈRE Jef,N/A,N/A,N/A,FRANTZ Nicolas,N/A
1930,LEDUCQ André,GUERRA Learco,MAGNE Antonin,N/A,N/A,N/A,DE Maurice,N/A
1931,MAGNE Antonin,DEMUYSÈRE Jef,PESENTI Antonio,N/A,N/A,N/A,LEDUCQ André,N/A
1932,LEDUCQ André,STOEPEL Kurt,CAMUSSO Francesco,N/A,N/A,N/A,MAGNE Antonin,N/A
1933,SPEICHER Georges,GUERRA Learco,MARTANO Giuseppe,N/A,Vicente Trueba,N/A,LEDUCQ André,N/A
1934,MAGNE Antonin,MARTANO Giuseppe,LAPÉBIE Roger,N/A,René Vietto,N/A,SPEICHER Georges,N/A
1935,MAES Romain,MORELLI Ambrogio,VERVAECKE Félicien,N/A,Félicien Vervaecke,N/A,MAGNE Antonin,N/A
1936,MAES Sylvère,MAGNE Antonin,VERVAECKE Félicien,N/A,Julián Berrendero,N/A,MAES Romain,N/A
1937,LAPÉBIE Roger,VICINI Mario,AMBERG Léo,N/A,Félicien Vervaecke,N/A,MAES Sylvère,N/A
1938,BARTALI Gino,VERVAECKE Félicien,COSSON Victor,N/A,Gino Bartali,N/A,LAPÉBIE Roger,N/A
1939,MAES Sylvère,VIETTO René,VLAEMYNCK Lucien,N/A,Sylvère Maes,N/A,BARTALI Gino,N/A
1940,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,MAES Sylvère,N/A
1941,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,WINNER No,N/A
1942,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,WINNER No,N/A
1943,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,WINNER No,N/A
1944,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,WINNER No,N/A
1945,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,WINNER No,N/A
1946,WINNER No,No Winner (WW2),No Winner (WW2),N/A,N/A,N/A,WINNER No,N/A
1947,ROBIC Jean,FACHLEITNER Édouard,BRAMBILLA Pierre,N/A,Pierre Brambilla,N/A,WINNER No,N/A
1948,BARTALI Gino,SCHOTTE Briek,LAPÉBIE Guy,N/A,Gino Bartali,N/A,ROBIC Jean,N/A
